b,beta0,gamma,delta,mean_alpha_s1,mean_alpha_s0
2.12132,0.1,0.5,0.0316228,1.80517,1.80466
2.12132,0.1,0.707107,0.1,0,0
2.12132,0.1,0.707107,0.316228,0,0
2.12132,0.1,0.707107,1,0,0
1.5,10,1,0.316228,2.79879,2.00018
2.12132,0.1,1,0.1,0,0
2.12132,0.1,1,0.316228,0,0
2.12132,0.1,1,1,0,0
1.5,10,2,0.1,2.79843,2.79202
2.12132,0.1,0.707107,0.01,1.82152,1.82071
2.12132,0.1,0.707107,0.0316228,1.81371,1.81002
2.12132,0.1,1.41421,0.1,0,0
1.5,10,1.41421,0.316228,2.79983,2.41328
2.12132,0.1,1.41421,0.316228,0,0
2.12132,0.1,1.41421,1,0,0
2.12132,0.1,1,0.01,1.98481,1.98517
2.12132,0.1,2,0.0316228,0,0
2.12132,0.1,2,0.1,0,0
2.12132,0.1,2,0.316228,0,0
2.12132,0.1,2,1,0,0
2.12132,0.1,1,0.0316228,2.02754,2.00201
2.12132,0.1,1.41421,0.0316228,0,2.41889
2.12132,0.316228,0.5,0.316228,0,0
2.12132,0.316228,0.5,1,0,0
1.5,10,2,0.316228,2.79992,2.79692
2.12132,0.1,1.41421,0.01,2.2821,2.36278
2.12132,0.316228,0.707107,0.316228,0,0
2.12132,0.316228,0.707107,1,0,0
2.12132,0.316228,0.5,0.01,1.81202,1.8119
2.12132,0.316228,0.5,0.0316228,1.80493,1.80439
2.12132,0.1,2,0.01,2.63343,2.76677
2.12132,0.316228,0.707107,0.01,1.82136,1.82141
2.12132,0.316228,1,0.316228,0,0
2.12132,0.316228,0.5,0.1,1.80213,1.80138
2.12132,0.316228,0.707107,0.0316228,1.81432,1.81032
2.12132,0.316228,1,1,0,0
2.12132,0.316228,1.41421,0.316228,0,0
2.12132,0.316228,0.707107,0.1,1.81705,1.80394
2.12132,0.316228,1.41421,1,0,0
2.12132,0.316228,1,0.01,1.98855,1.98686
2.12132,0.316228,2,0.1,0,0
2.12132,0.316228,1,0.0316228,2.0359,1.99922
2.12132,0.316228,2,0.316228,0,0
2.12132,0.316228,1.41421,0.1,0,2.4119
2.12132,0.316228,2,1,0,0
2.12132,0.316228,1,0.1,2.09033,1.99948
2.12132,1,0.5,1,0,0
2.12132,0.316228,1.41421,0.01,2.28773,2.35582
2.12132,0.316228,1.41421,0.0316228,2.43023,2.41386
2.12132,0.316228,2,0.01,2.65613,2.76688
2.12132,1,0.5,0.01,1.81379,1.81181
2.12132,1,0.707107,0.01,1.82164,1.82048
2.12132,0.316228,2,0.0316228,2.79183,2.78078
2.12132,1,0.5,0.0316228,1.80661,1.80444
2.12132,1,0.707107,1,0,0
2.12132,1,0.5,0.1,1.80734,1.80149
2.12132,1,1,1,0,0
2.12132,1,0.5,0.316228,1.83921,1.80043
2.12132,1,0.707107,0.0316228,1.82752,1.8106
2.12132,1,1.41421,0.316228,0,0
2.12132,1,0.707107,0.1,1.92938,1.80397
2.12132,1,1,0.01,2.00012,1.98254
2.12132,1,0.707107,0.316228,1.95658,1.8013
2.12132,1,1.41421,1,0,0
2.12132,1,1,0.0316228,2.08022,2.00036
2.12132,1,2,0.316228,0,0
2.12132,1,1,0.316228,2.20448,2.00032
2.12132,1,2,1,0,0
