N,s,theta,mean_virulence
5,0.35,5,2.01244
5,0.4,5,2.02169
5,0.45,5,2.03298
5,0.5,5,2.04471
5,0.55,5,2.05246
5,0.6,5,2.05991
5,0.65,5,2.08616
5,0.7,5,2.1027
5,0.75,5,2.12847
5,0.8,5,2.1568
5,0,6,2.0002
5,0.05,6,2.0005
5,0.85,5,2.19925
5,0.1,6,2.00235
5,0.15,6,2.0028
5,0.9,5,2.2608
5,0.2,6,2.00461
5,0.25,6,2.01013
5,0.3,6,2.01279
5,0.95,5,2.46415
5,0.35,6,2.01245
5,1,5,2.55773
5,0.4,6,2.02239
5,0.45,6,2.03609
5,0.5,6,2.04577
5,0.55,6,2.05254
5,0.6,6,2.06117
5,0.65,6,2.08314
5,0.7,6,2.10141
5,0.75,6,2.12619
5,0.8,6,2.15357
5,0.85,6,2.18824
5,0.9,6,2.23426
5,0.95,6,2.30424
5,1,6,2.65149
